country,cause,Average,Maximum,Minimum
Ethiopia,Injuries,139.0,139,139
Ethiopia,Noncommunicable,903.0,903,903
Fiji,Communicable,166.0,166,166
Fiji,Injuries,35.0,35,35
Fiji,Noncommunicable,752.0,752,752
Finland,Communicable,11.0,11,11
Finland,Injuries,58.0,58,58
Finland,Noncommunicable,377.0,377,377
France,Communicable,23.0,23,23
France,Injuries,38.0,38,38
France,Noncommunicable,336.0,336,336
Gabon,Communicable,545.0,545,545
Gabon,Injuries,82.0,82,82
Gabon,Noncommunicable,660.0,660,660
Gambia,Communicable,525.0,525,525
Gambia,Injuries,72.0,72,72
Gambia,Noncommunicable,735.0,735,735
Georgia,Communicable,72.0,72,72
Georgia,Injuries,46.0,46,46
Georgia,Noncommunicable,670.0,670,670
Germany,Communicable,21.0,21,21
Germany,Injuries,25.0,25,25
Germany,Noncommunicable,394.0,394,394
Ghana,Communicable,608.0,608,608
Ghana,Injuries,91.0,91,91
Ghana,Noncommunicable,711.0,711,711
Greece,Communicable,25.0,25,25
Greece,Injuries,29.0,29,29
Greece,Noncommunicable,388.0,388,388
Grenada,Communicable,86.0,86,86
Grenada,Injuries,43.0,43,43
Grenada,Noncommunicable,580.0,580,580
Guatemala,Communicable,225.0,225,225
Guatemala,Injuries,130.0,130,130
Guatemala,Noncommunicable,471.0,471,471
Guinea,Communicable,759.0,759,759
Guinea,Injuries,121.0,121,121
Guinea,Noncommunicable,932.0,932,932
Guinea-Bissau,Communicable,928.0,928,928
Guinea-Bissau,Injuries,110.0,110,110
Guinea-Bissau,Noncommunicable,916.0,916,916
Guyana,Communicable,194.0,194,194
Guyana,Injuries,114.0,114,114
Guyana,Noncommunicable,677.0,677,677
Haiti,Communicable,545.0,545,545
Haiti,Injuries,52.0,52,52
Haiti,Noncommunicable,697.0,697,697
Honduras,Communicable,152.0,152,152
Honduras,Injuries,61.0,61,61
Honduras,Noncommunicable,729.0,729,729
Hungary,Communicable,16.0,16,16
Hungary,Injuries,51.0,51,51
Hungary,Noncommunicable,648.0,648,648
Iceland,Communicable,18.0,18,18
Iceland,Injuries,33.0,33,33
Iceland,Noncommunicable,332.0,332,332
India,Communicable,363.0,363,363
India,Injuries,99.0,99,99
India,Noncommunicable,685.0,685,685
Indonesia,Communicable,244.0,244,244
Indonesia,Injuries,70.0,70,70
