subregion,year,sex,total
Northern America,2010,Female,3693
Northern America,2010,Male,12322
Northern America,2011,Female,3465
Northern America,2011,Male,11819
Northern America,2012,Female,3443
Northern America,2012,Male,11832
Northern America,2013,Female,3458
Northern America,2013,Male,11952
Northern America,2014,Female,3320
Northern America,2014,Male,11512
Northern America,2015,Female,3335
Northern America,2015,Male,11354
Northern America,2016,Female,3511
Northern America,2016,Male,12985
Northern America,2017,Female,3868
Northern America,2017,Male,14164
Northern America,2018,Female,3864
Northern America,2018,Male,14082
Northern America,2019,Female,3658
Northern America,2019,Male,12555
Northern America,2020,Female,155
Northern America,2020,Male,527
Northern America,2021,Female,171
Northern America,2021,Male,568
Northern Europe,2001,Female,267
Northern Europe,2001,Male,627
Northern Europe,2002,Female,234
Northern Europe,2002,Male,633
Northern Europe,2003,Female,220
Northern Europe,2003,Male,588
Northern Europe,2004,Female,258
Northern Europe,2004,Male,568
Northern Europe,2005,Female,252
Northern Europe,2005,Male,544
Northern Europe,2006,Female,134
Northern Europe,2006,Male,590
Northern Europe,2007,Female,219
Northern Europe,2007,Male,491
Northern Europe,2008,Female,215
Northern Europe,2008,Male,544
Northern Europe,2009,Female,206
Northern Europe,2009,Male,528
Northern Europe,2010,Female,192
Northern Europe,2010,Male,470
Northern Europe,2011,Female,189
Northern Europe,2011,Male,435
Northern Europe,2012,Female,211
Northern Europe,2012,Male,457
Northern Europe,2013,Female,206
Northern Europe,2013,Male,410
Northern Europe,2014,Female,192
Northern Europe,2014,Male,429
Northern Europe,2015,Female,196
Northern Europe,2015,Male,347
Northern Europe,2016,Female,177
Northern Europe,2016,Male,417
Northern Europe,2017,Female,177
Northern Europe,2017,Male,376
Northern Europe,2018,Female,205
Northern Europe,2018,Male,360
Northern Europe,2019,Female,199
Northern Europe,2019,Male,360
Northern Europe,2020,Female,176
Northern Europe,2020,Male,338
Northern Europe,2021,Female,131
Northern Europe,2021,Male,310
Polynesia,2001,Female,0
Polynesia,2001,Male,1
Polynesia,2002,Female,1
Polynesia,2002,Male,5
Polynesia,2003,Female,1
Polynesia,2003,Male,5
Polynesia,2004,Female,0
Polynesia,2004,Male,6
Polynesia,2005,Female,0
Polynesia,2005,Male,2
Polynesia,2006,Female,0
Polynesia,2006,Male,4
Polynesia,2007,Female,0
Polynesia,2007,Male,8
Polynesia,2008,Female,0
Polynesia,2008,Male,1
Polynesia,2009,Female,1
Polynesia,2009,Male,3
Polynesia,2010,Female,3
Polynesia,2010,Male,5
Polynesia,2011,Female,0
Polynesia,2011,Male,1
Polynesia,2012,Female,0
Polynesia,2012,Male,2
Polynesia,2013,Female,1
Polynesia,2013,Male,0
Polynesia,2020,Female,1
Polynesia,2020,Male,1
Polynesia,2021,Male,2
South-eastern Asia,2001,Female,903
South-eastern Asia,2001,Male,4242
South-eastern Asia,2003,Female,697
South-eastern Asia,2003,Male,3840
South-eastern Asia,2004,Female,952
South-eastern Asia,2004,Male,5481
South-eastern Asia,2005,Female,503
South-eastern Asia,2005,Male,3769
South-eastern Asia,2006,Female,621
South-eastern Asia,2006,Male,4184
South-eastern Asia,2007,Female,585
South-eastern Asia,2007,Male,4118
South-eastern Asia,2008,Female,1552
South-eastern Asia,2008,Male,8861
South-eastern Asia,2009,Female,1733
South-eastern Asia,2009,Male,8086
South-eastern Asia,2010,Female,2203
South-eastern Asia,2010,Male,11485
South-eastern Asia,2011,Female,1823
South-eastern Asia,2011,Male,11294
South-eastern Asia,2012,Female,1469
South-eastern Asia,2012,Male,11296
South-eastern Asia,2013,Female,1807
South-eastern Asia,2013,Male,11445
South-eastern Asia,2014,Female,592
South-eastern Asia,2014,Male,3556
South-eastern Asia,2015,Female,616
South-eastern Asia,2015,Male,3276
South-eastern Asia,2016,Female,196
South-eastern Asia,2016,Male,970
South-eastern Asia,2017,Female,992
South-eastern Asia,2017,Male,11218
South-eastern Asia,2018,Female,689
South-eastern Asia,2018,Male,7590
South-eastern Asia,2019,Female,499
South-eastern Asia,2019,Male,5161
South-eastern Asia,2020,Female,440
South-eastern Asia,2020,Male,4336
South-eastern Asia,2021,Female,5
South-eastern Asia,2021,Male,5
Southern Asia,2001,Female,15195
Southern Asia,2001,Male,32971
Southern Asia,2002,Female,14971
Southern Asia,2002,Male,31448
Southern Asia,2003,Female,14518
Southern Asia,2003,Male,31217
Southern Asia,2004,Female,14473
Southern Asia,2004,Male,29858
Southern Asia,2005,Female,15864
Southern Asia,2005,Male,30626
Southern Asia,2006,Female,15268
Southern Asia,2006,Male,29827
Southern Asia,2007,Female,15571
Southern Asia,2007,Male,29389
Southern Asia,2008,Female,16794
Southern Asia,2008,Male,28568
Southern Asia,2009,Female,17342
Southern Asia,2009,Male,1949
Southern Asia,2010,Female,18057
Southern Asia,2010,Male,28866
Southern Asia,2011,Female,18039
Southern Asia,2011,Male,29184
Southern Asia,2012,Female,18916
Southern Asia,2012,Male,29456
Southern Asia,2013,Female,18622
Southern Asia,2013,Male,29532
Southern Asia,2014,Female,18349
Southern Asia,2014,Male,30184
Southern Asia,2015,Female,18633
Southern Asia,2015,Male,31211
Southern Asia,2016,Female,17295
Southern Asia,2016,Male,30948
Southern Asia,2017,Female,18099
Southern Asia,2017,Male,26695
Southern Asia,2018,Female,17556
Southern Asia,2018,Male,26417
Southern Asia,2019,Female,17491
Southern Asia,2019,Male,26490
Southern Asia,2020,Female,17489
Southern Asia,2020,Male,23739
Southern Asia,2021,Female,16388
Southern Asia,2021,Male,24281
Southern Europe,2001,Female,360
Southern Europe,2001,Male,1123
Southern Europe,2002,Female,533
Southern Europe,2002,Male,1610
Southern Europe,2003,Female,535
Southern Europe,2003,Male,1518
Southern Europe,2004,Female,560
Southern Europe,2004,Male,1492
Southern Europe,2005,Female,385
Southern Europe,2005,Male,846
Southern Europe,2006,Female,455
