country,year,disease,average
Ethiopia,2008,Cardiovascular disease,0.80698824
Ethiopia,2008,Respiratory disease,1.3308644
Fiji,2008,Cancer,0.53906417
Fiji,2008,Cardiovascular disease,0.81210655
Fiji,2008,Respiratory disease,0.67121863
Finland,2008,Cancer,0.40609503
Finland,2008,Cardiovascular disease,0.1910839
Finland,2008,Respiratory disease,0.092581876
France,2008,Cancer,0.60734564
France,2008,Cardiovascular disease,0.1108969
France,2008,Respiratory disease,0.092581876
Gabon,2008,Cancer,0.42047006
Gabon,2008,Cardiovascular disease,0.5544845
Gabon,2008,Respiratory disease,0.92581874
Gambia,2008,Cancer,0.6576583
Gambia,2008,Cardiovascular disease,0.8530531
Gambia,2008,Respiratory disease,1.3655827
Georgia,2008,Cancer,0.51390785
Georgia,2008,Cardiovascular disease,0.76774776
Georgia,2008,Respiratory disease,0.092581876
Germany,2008,Cancer,0.53906417
Germany,2008,Cardiovascular disease,0.17402282
Germany,2008,Respiratory disease,0.12730008
Ghana,2008,Cancer,0.542658
Ghana,2008,Cardiovascular disease,0.6124921
Ghana,2008,Respiratory disease,1.0762643
Greece,2008,Cancer,0.4923453
Greece,2008,Cardiovascular disease,0.18596557
Greece,2008,Respiratory disease,0.12730008
Grenada,2008,Cancer,0.7582836
Grenada,2008,Cardiovascular disease,0.5357173
Grenada,2008,Respiratory disease,0.3008911
Guatemala,2008,Cancer,0.52468914
Guatemala,2008,Cardiovascular disease,0.29003805
Guatemala,2008,Respiratory disease,0.16201828
Guinea,2008,Cancer,0.63609576
Guinea,2008,Cardiovascular disease,0.92470956
Guinea,2008,Respiratory disease,1.5854646
Guinea-Bissau,2008,Cancer,0.59656435
Guinea-Bissau,2008,Cardiovascular disease,0.8905874
Guinea-Bissau,2008,Respiratory disease,1.48131
Guyana,2008,Cancer,0.47797024
Guyana,2008,Cardiovascular disease,1.1652704
Guyana,2008,Respiratory disease,0.2661729
Haiti,2008,Cancer,0.31984475
Haiti,2008,Cardiovascular disease,0.5834883
Haiti,2008,Respiratory disease,0.28931835
Honduras,2008,Cancer,0.59656435
Honduras,2008,Cardiovascular disease,0.4452937
Honduras,2008,Respiratory disease,0.25460017
Hungary,2008,Cancer,0.94156545
Hungary,2008,Cardiovascular disease,0.42993876
Hungary,2008,Respiratory disease,0.33560932
Iceland,2008,Cancer,0.43484512
Iceland,2008,Cardiovascular disease,0.1108969
Iceland,2008,Respiratory disease,0.08100914
India,2008,Cancer,0.38812622
India,2008,Cardiovascular disease,0.5596028
India,2008,Respiratory disease,1.5391737
Indonesia,2008,Cancer,0.5929706
Indonesia,2008,Cardiovascular disease,0.5254807
Indonesia,2008,Respiratory disease,0.740655
Iran (Islamic Republic of),2008,Cancer,0.39890748
Iran (Islamic Republic of),2008,Cardiovascular disease,0.46235478
Iran (Islamic Republic of),2008,Respiratory disease,0.2661729
Iraq,2008,Cancer,0.48156402
Iraq,2008,Cardiovascular disease,0.6124921
Iraq,2008,Respiratory disease,0.40504572
Ireland,2008,Cancer,0.53906417
Ireland,2008,Cardiovascular disease,0.14331292
Ireland,2008,Respiratory disease,0.13887282
Israel,2008,Cancer,0.44922015
Israel,2008,Cardiovascular disease,0.122839645
