region,year,sex,average,maximum,minimum
Europe,2016,Male,408.21622,11710,0
Europe,2017,Female,173.4,4152,0
Europe,2017,Male,427.25714,11709,0
Europe,2018,Female,159.30556,3484,1
Europe,2018,Male,422.83334,9809,0
Europe,2019,Female,142.79411,3173,1
Europe,2019,Male,342.44116,8782,0
Europe,2020,Female,124.833336,2921,0
Europe,2020,Male,308.97223,8278,1
Europe,2021,Female,137.55173,2763,0
Europe,2021,Male,328.9,7928,1
Oceania,2001,Female,52.0,136,0
Oceania,2001,Male,85.666664,225,1
Oceania,2002,Female,46.0,116,1
Oceania,2002,Male,88.0,230,5
Oceania,2003,Female,49.333332,121,1
Oceania,2003,Male,94.0,244,5
Oceania,2004,Female,36.666668,96,0
Oceania,2004,Male,80.0,205,6
Oceania,2005,Female,34.333332,92,0
Oceania,2005,Male,68.333336,170,2
Oceania,2006,Female,32.25,94,0
Oceania,2006,Male,54.0,164,4
Oceania,2007,Female,30.25,92,0
Oceania,2007,Male,59.25,188,8
Oceania,2008,Female,30.5,85,0
Oceania,2008,Male,50.5,169,1
Oceania,2009,Female,33.75,101,1
Oceania,2009,Male,49.5,160,3
Oceania,2010,Female,28.0,76,3
Oceania,2010,Male,63.5,186,5
Oceania,2011,Female,30.25,93,0
Oceania,2011,Male,43.0,137,1
Oceania,2012,Female,28.5,90,0
Oceania,2012,Male,48.75,158,2
Oceania,2013,Female,28.0,83,1
Oceania,2013,Male,48.25,160,0
Oceania,2014,Female,38.0,94,8
Oceania,2014,Male,65.333336,151,11
Oceania,2015,Female,39.666668,94,12
Oceania,2015,Male,62.0,149,8
Oceania,2016,Female,50.0,84,16
Oceania,2016,Male,91.5,151,32
Oceania,2017,Female,51.0,80,22
Oceania,2017,Male,87.5,147,28
Oceania,2018,Female,38.0,63,13
Oceania,2018,Male,83.0,144,22
Oceania,2019,Female,84.0,84,84
Oceania,2019,Male,135.0,135,135
Oceania,2020,Female,19.6,68,1
Oceania,2020,Male,48.8,156,0
Oceania,2021,Female,37.5,74,1
Oceania,2021,Male,50.666668,150,0
